"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"274",2004,"Illinois","Liver and Intrahepatic Bile Duct",5.1,639,12589773
"275",2004,"Indiana","Liver and Intrahepatic Bile Duct",4.4,282,6233007
"276",2004,"Iowa","Liver and Intrahepatic Bile Duct",4,140,2953635
"277",2004,"Kansas","Liver and Intrahepatic Bile Duct",3.2,93,2734373
"278",2004,"Kentucky","Liver and Intrahepatic Bile Duct",4.8,204,4146101
"279",2004,"Louisiana","Liver and Intrahepatic Bile Duct",7,310,4552238
"280",2004,"Maine","Liver and Intrahepatic Bile Duct",4.1,63,1313688
"281",2004,"Maryland","Liver and Intrahepatic Bile Duct",4.5,243,5546935
"282",2004,"Massachusetts","Liver and Intrahepatic Bile Duct",4.9,341,6412281
"283",2004,"Michigan","Liver and Intrahepatic Bile Duct",5,525,10055315
"284",2004,"Minnesota","Liver and Intrahepatic Bile Duct",4.1,211,5087713
"285",2004,"Mississippi","Liver and Intrahepatic Bile Duct",5.9,169,2889010
"286",2004,"Missouri","Liver and Intrahepatic Bile Duct",4.9,305,5747741
"287",2004,"Montana","Liver and Intrahepatic Bile Duct",3.2,33,930009
"288",2004,"Nebraska","Liver and Intrahepatic Bile Duct",4,75,1749370
"289",2004,"Nevada","Liver and Intrahepatic Bile Duct",5.8,128,2346222
"290",2004,"New Hampshire","Liver and Intrahepatic Bile Duct",4.1,54,1290121
"291",2004,"New Jersey","Liver and Intrahepatic Bile Duct",5.2,474,8634561
"292",2004,"New Mexico","Liver and Intrahepatic Bile Duct",6.7,129,1903808
"293",2004,"New York","Liver and Intrahepatic Bile Duct",5.3,1087,19171567
"294",2004,"North Carolina","Liver and Intrahepatic Bile Duct",4.2,367,8553152
"295",2004,"North Dakota","Liver and Intrahepatic Bile Duct",3.3,25,644705
"296",2004,"Ohio","Liver and Intrahepatic Bile Duct",4.4,541,11452251
"297",2004,"Oklahoma","Liver and Intrahepatic Bile Duct",4.4,164,3525233
"298",2004,"Oregon","Liver and Intrahepatic Bile Duct",4.5,171,3569463
"299",2004,"Pennsylvania","Liver and Intrahepatic Bile Duct",4.9,722,12410722
"300",2004,"Rhode Island","Liver and Intrahepatic Bile Duct",5.9,72,1074579
"301",2004,"South Carolina","Liver and Intrahepatic Bile Duct",4.5,195,4210921
"302",2004,"South Dakota","Liver and Intrahepatic Bile Duct",3.9,34,770396
"303",2004,"Tennessee","Liver and Intrahepatic Bile Duct",4.9,302,5910809
"304",2004,"Texas","Liver and Intrahepatic Bile Duct",7,1330,22394023
"305",2004,"United States","Liver and Intrahepatic Bile Duct",5.1,15321,292805298
"306",2004,"Utah","Liver and Intrahepatic Bile Duct",3.2,57,2401580
"307",2004,"Vermont","Liver and Intrahepatic Bile Duct",4.1,28,619920
"308",2004,"Virginia","Liver and Intrahepatic Bile Duct",4.5,327,7475575
"309",2004,"Washington","Liver and Intrahepatic Bile Duct",5.6,346,6178645
"310",2004,"West Virginia","Liver and Intrahepatic Bile Duct",4.5,100,1816438
"311",2004,"Wisconsin","Liver and Intrahepatic Bile Duct",4.8,282,5514026
"312",2004,"Wyoming","Liver and Intrahepatic Bile Duct",3.2,17,509106
"313",2005,"Alabama","Liver and Intrahepatic Bile Duct",4.6,228,4565917
"314",2005,"Alaska","Liver and Intrahepatic Bile Duct",5.5,25,666946
"315",2005,"Arizona","Liver and Intrahepatic Bile Duct",5.2,313,5839077
"316",2005,"Arkansas","Liver and Intrahepatic Bile Duct",5.9,181,2781097
"317",2005,"California","Liver and Intrahepatic Bile Duct",6.7,2185,35827943
"318",2005,"Colorado","Liver and Intrahepatic Bile Duct",4.4,182,4631888
"319",2005,"Connecticut","Liver and Intrahepatic Bile Duct",4.9,190,3506956
"320",2005,"Delaware","Liver and Intrahepatic Bile Duct",5.7,51,845150
"321",2005,"District of Columbia","Liver and Intrahepatic Bile Duct",7,39,567136
"322",2005,"Florida","Liver and Intrahepatic Bile Duct",5.2,1163,17842038
"323",2005,"Georgia","Liver and Intrahepatic Bile Duct",4.5,350,8925922
"324",2005,"Hawaii","Liver and Intrahepatic Bile Duct",7.9,113,1292729
"325",2005,"Idaho","Liver and Intrahepatic Bile Duct",4.7,66,1428241
"326",2005,"Illinois","Liver and Intrahepatic Bile Duct",5.3,668,12609903
"327",2005,"Indiana","Liver and Intrahepatic Bile Duct",5.4,342,6278616
"328",2005,"Iowa","Liver and Intrahepatic Bile Duct",3.7,130,2964454
"329",2005,"Kansas","Liver and Intrahepatic Bile Duct",4.6,133,2745299
"330",2005,"Kentucky","Liver and Intrahepatic Bile Duct",5.3,231,4182742
"331",2005,"Louisiana","Liver and Intrahepatic Bile Duct",7.2,312,4411396
"332",2005,"Maine","Liver and Intrahepatic Bile Duct",4.6,72,1318787
"333",2005,"Maryland","Liver and Intrahepatic Bile Duct",5,277,5592379
"334",2005,"Massachusetts","Liver and Intrahepatic Bile Duct",5.6,395,6403290
"335",2005,"Michigan","Liver and Intrahepatic Bile Duct",4.6,491,10051137
"336",2005,"Minnesota","Liver and Intrahepatic Bile Duct",4.7,244,5119598
"337",2005,"Mississippi","Liver and Intrahepatic Bile Duct",6,174,2876229
"338",2005,"Missouri","Liver and Intrahepatic Bile Duct",4.9,309,5790300
"339",2005,"Montana","Liver and Intrahepatic Bile Duct",3.7,41,940102
"340",2005,"Nebraska","Liver and Intrahepatic Bile Duct",3.4,64,1761497
"341",2005,"Nevada","Liver and Intrahepatic Bile Duct",5.9,133,2432143
"342",2005,"New Hampshire","Liver and Intrahepatic Bile Duct",4.7,65,1298492
"343",2005,"New Jersey","Liver and Intrahepatic Bile Duct",5.1,477,8651974
"344",2005,"New Mexico","Liver and Intrahepatic Bile Duct",5.6,111,1932274
"345",2005,"New York","Liver and Intrahepatic Bile Duct",5.4,1112,19132610
"346",2005,"North Carolina","Liver and Intrahepatic Bile Duct",4.4,396,8705407
"347",2005,"North Dakota","Liver and Intrahepatic Bile Duct",4.5,35,646089
"348",2005,"Ohio","Liver and Intrahepatic Bile Duct",4.4,552,11463320
"349",2005,"Oklahoma","Liver and Intrahepatic Bile Duct",5,189,3548597
"350",2005,"Oregon","Liver and Intrahepatic Bile Duct",4.6,185,3613202
"351",2005,"Pennsylvania","Liver and Intrahepatic Bile Duct",4.7,707,12449990
"352",2005,"Rhode Island","Liver and Intrahepatic Bile Duct",3.6,45,1067916
"353",2005,"South Carolina","Liver and Intrahepatic Bile Duct",5,224,4270150
"354",2005,"South Dakota","Liver and Intrahepatic Bile Duct",5,43,775493
"355",2005,"Tennessee","Liver and Intrahepatic Bile Duct",4.5,284,5991057
"356",2005,"Texas","Liver and Intrahepatic Bile Duct",7.2,1417,22773020
"357",2005,"United States","Liver and Intrahepatic Bile Duct",5.3,16075,295516599
"358",2005,"Utah","Liver and Intrahepatic Bile Duct",3.7,70,2457719
"359",2005,"Vermont","Liver and Intrahepatic Bile Duct",2.5,18,621215
"360",2005,"Virginia","Liver and Intrahepatic Bile Duct",4.3,322,7577105
"361",2005,"Washington","Liver and Intrahepatic Bile Duct",5,317,6257305
"362",2005,"West Virginia","Liver and Intrahepatic Bile Duct",4.3,96,1820492
