"","Location"
"152","Berrien County"
"153","Bertie County"
"154","Bethel Census Area"
"155","Bexar County"
"156","Bibb County"
"157","Bienville Parish"
"158","Big Horn County"
"159","Big Stone County"
"160","Billings County"
"161","Bingham County"
"162","Black Hawk County"
"163","Blackford County"
"164","Bladen County"
"165","Blaine County"
"166","Blair County"
"167","Blanco County"
"168","Bland County"
"169","Bleckley County"
"170","Bledsoe County"
"171","Blount County"
"172","Blue Earth County"
"173","Boise County"
"174","Bolivar County"
"175","Bollinger County"
"176","Bon Homme County"
"177","Bond County"
"178","Bonner County"
"179","Bonneville County"
"180","Boone County"
"181","Borden County"
"182","Bosque County"
"183","Bossier Parish"
"184","Botetourt County"
"185","Bottineau County"
"186","Boundary County"
"187","Bourbon County"
"188","Bowie County"
"189","Bowman County"
"190","Box Butte County"
"191","Box Elder County"
"192","Boyd County"
"193","Boyle County"
"194","Bracken County"
"195","Bradford County"
"196","Bradley County"
"197","Branch County"
"198","Brantley County"
"199","Braxton County"
"200","Brazoria County"
"201","Brazos County"
"202","Breathitt County"
"203","Breckinridge County"
"204","Bremer County"
"205","Brevard County"
"206","Brewster County"
"207","Briscoe County"
"208","Bristol Bay Borough"
"209","Bristol City"
"210","Bristol County"
"211","Broadwater County"
"212","Bronx County"
"213","Brooke County"
"214","Brookings County"
"215","Brooks County"
"216","Broome County"
"217","Broward County"
"218","Brown County"
"219","Brule County"
"220","Brunswick County"
"221","Bryan County"
"222","Buchanan County"
"223","Buckingham County"
"224","Bucks County"
"225","Buena Vista City"
"226","Buena Vista County"
"227","Buffalo County"
"228","Bullitt County"
"229","Bulloch County"
"230","Bullock County"
"231","Buncombe County"
"232","Bureau County"
"233","Burke County"
"234","Burleigh County"
"235","Burleson County"
"236","Burlington County"
"237","Burnet County"
"238","Burnett County"
"239","Burt County"
"240","Butler County"
"241","Butte County"
"242","Butts County"
"243","Cabarrus County"
"244","Cabell County"
"245","Cache County"
"246","Caddo County"
"247","Caddo Parish"
"248","Calaveras County"
"249","Calcasieu Parish"
"250","Caldwell County"
"251","Caldwell Parish"
"252","Caledonia County"
"253","Calhoun County"
"254","California"
"255","Callahan County"
"256","Callaway County"
"257","Calloway County"
"258","Calumet County"
"259","Calvert County"
"260","Camas County"
"261","Cambria County"
"262","Camden County"
"263","Cameron County"
"264","Cameron Parish"
"265","Camp County"
"266","Campbell County"
"267","Canadian County"
"268","Candler County"
"269","Cannon County"
"270","Canyon County"
"271","Cape Girardeau County"
"272","Cape May County"
"273","Carbon County"
"274","Caribou County"
"275","Carlisle County"
"276","Carlton County"
"277","Caroline County"
"278","Carroll County"
"279","Carson City"
"280","Carson County"
"281","Carter County"
"282","Carteret County"
"283","Carver County"
"284","Cascade County"
"285","Casey County"
"286","Cass County"
"287","Cassia County"
"288","Castro County"
"289","Caswell County"
"290","Catahoula Parish"
"291","Catawba County"
"292","Catoosa County"
"293","Catron County"
"294","Cattaraugus County"
"295","Cavalier County"
"296","Cayuga County"
"297","Cecil County"
"298","Cedar County"
"299","Centre County"
"300","Cerro Gordo County"
"301","Chaffee County"
"302","Chambers County"
"303","Champaign County"
"304","Chariton County"
"305","Charles City County"
"306","Charles County"
"307","Charles Mix County"
"308","Charleston County"
"309","Charlevoix County"
"310","Charlotte County"
"311","Charlottesville City"
"312","Charlton County"
"313","Chase County"
"314","Chatham County"
"315","Chattahoochee County"
"316","Chattooga County"
"317","Chautauqua County"
"318","Chaves County"
"319","Cheatham County"
"320","Cheboygan County"
