state,county,sex,year,total_mean
Arkansas,Lee County,Males,2002,34.86
Arkansas,Lee County,Females,2002,25.18
Arkansas,Lincoln County,Males,2002,33.15
Arkansas,Lincoln County,Females,2002,27.5
Arkansas,Little River County,Males,2002,31.46
Arkansas,Little River County,Females,2002,26.16
Arkansas,Logan County,Males,2002,32.27
Arkansas,Logan County,Females,2002,31.09
Arkansas,Lonoke County,Males,2002,30.79
Arkansas,Lonoke County,Females,2002,27.41
Arkansas,Madison County,Males,2002,30.17
Arkansas,Madison County,Females,2002,30.32
Arkansas,Marion County,Males,2002,31.99
Arkansas,Marion County,Females,2002,29.66
Arkansas,Miller County,Males,2002,31.98
Arkansas,Miller County,Females,2002,28.15
Arkansas,Mississippi County,Males,2002,35.92
Arkansas,Mississippi County,Females,2002,25.7
Arkansas,Monroe County,Males,2002,33.18
Arkansas,Monroe County,Females,2002,26.06
Arkansas,Montgomery County,Males,2002,30.68
Arkansas,Montgomery County,Females,2002,30.23
Arkansas,Nevada County,Males,2002,32.43
Arkansas,Nevada County,Females,2002,23.43
Arkansas,Newton County,Males,2002,29.77
Arkansas,Newton County,Females,2002,31.96
Arkansas,Ouachita County,Males,2002,30.91
Arkansas,Ouachita County,Females,2002,23.59
Arkansas,Perry County,Males,2002,32.41
Arkansas,Perry County,Females,2002,27.85
Arkansas,Phillips County,Males,2002,34.25
Arkansas,Phillips County,Females,2002,24.13
Arkansas,Pike County,Males,2002,29.46
Arkansas,Pike County,Females,2002,27.12
Arkansas,Poinsett County,Males,2002,38.48
Arkansas,Poinsett County,Females,2002,33.02
Arkansas,Polk County,Males,2002,29.8
Arkansas,Polk County,Females,2002,29.29
Arkansas,Pope County,Males,2002,28.07
Arkansas,Pope County,Females,2002,29.6
Arkansas,Prairie County,Males,2002,32.26
Arkansas,Prairie County,Females,2002,25.77
Arkansas,Pulaski County,Males,2002,29.04
Arkansas,Pulaski County,Females,2002,22.09
Arkansas,Randolph County,Males,2002,35.14
Arkansas,Randolph County,Females,2002,29.37
Arkansas,St. Francis County,Males,2002,34.57
Arkansas,St. Francis County,Females,2002,26.82
Arkansas,Saline County,Males,2002,31.96
Arkansas,Saline County,Females,2002,25.91
Arkansas,Scott County,Males,2002,31.74
Arkansas,Scott County,Females,2002,30.53
Arkansas,Searcy County,Males,2002,32.16
Arkansas,Searcy County,Females,2002,31.51
Arkansas,Sebastian County,Males,2002,28.91
Arkansas,Sebastian County,Females,2002,26.89
Arkansas,Sevier County,Males,2002,30.54
Arkansas,Sevier County,Females,2002,26.72
Arkansas,Sharp County,Males,2002,32.98
Arkansas,Sharp County,Females,2002,29.46
Arkansas,Stone County,Males,2002,32.6
Arkansas,Stone County,Females,2002,29.06
Arkansas,Union County,Males,2002,30.2
Arkansas,Union County,Females,2002,26.47
Arkansas,Van Buren County,Males,2002,30.87
Arkansas,Van Buren County,Females,2002,28.8
Arkansas,Washington County,Males,2002,26.71
Arkansas,Washington County,Females,2002,24.61
Arkansas,White County,Males,2002,30.42
Arkansas,White County,Females,2002,25.62
Arkansas,Woodruff County,Males,2002,33.72
Arkansas,Woodruff County,Females,2002,27.09
Arkansas,Yell County,Males,2002,33.2
Arkansas,Yell County,Females,2002,30.16
California,Alameda County,Males,2002,20.99
California,Alameda County,Females,2002,14.95
California,Alpine County,Males,2002,24.07
California,Alpine County,Females,2002,21.72
California,Amador County,Males,2002,24.83
California,Amador County,Females,2002,21.56
California,Butte County,Males,2002,24.95
California,Butte County,Females,2002,22.14
California,Calaveras County,Males,2002,24.31
California,Calaveras County,Females,2002,19.65
California,Colusa County,Males,2002,28.4
California,Colusa County,Females,2002,22.42
California,Contra Costa County,Males,2002,20.33
California,Contra Costa County,Females,2002,15.03
California,Del Norte County,Males,2002,29.19
California,Del Norte County,Females,2002,28.79
California,El Dorado County,Males,2002,21.64
California,El Dorado County,Females,2002,19.28
California,Fresno County,Males,2002,24.47
California,Fresno County,Females,2002,17.31
California,Glenn County,Males,2002,28.4
California,Glenn County,Females,2002,23.65
California,Humboldt County,Males,2002,24.84
California,Humboldt County,Females,2002,23.27
California,Imperial County,Males,2002,24.16
California,Imperial County,Females,2002,15.21
California,Inyo County,Males,2002,27.21
California,Inyo County,Females,2002,21.35
California,Kern County,Males,2002,27.84
California,Kern County,Females,2002,18.66
California,Kings County,Males,2002,26.94
California,Kings County,Females,2002,17.78
California,Lake County,Males,2002,29.57
California,Lake County,Females,2002,26.05
California,Lassen County,Males,2002,27.93
California,Lassen County,Females,2002,25.94
California,Los Angeles County,Males,2002,24.82
California,Los Angeles County,Females,2002,14.44
California,Madera County,Males,2002,26.63
California,Madera County,Females,2002,20.7
California,Marin County,Males,2002,18.3
California,Marin County,Females,2002,14.38
California,Mariposa County,Males,2002,24.37
California,Mariposa County,Females,2002,19.66
California,Mendocino County,Males,2002,26.36
California,Mendocino County,Females,2002,22.9
California,Merced County,Males,2002,26.52
California,Merced County,Females,2002,18.29
California,Modoc County,Males,2002,27.48
California,Modoc County,Females,2002,25.98
California,Mono County,Males,2002,22.33
California,Mono County,Females,2002,19.41
California,Monterey County,Males,2002,24.81
California,Monterey County,Females,2002,16.33
California,Napa County,Males,2002,23.85
California,Napa County,Females,2002,18.4
California,Nevada County,Males,2002,22.92
California,Nevada County,Females,2002,18.57
California,Orange County,Males,2002,19.38
California,Orange County,Females,2002,13.66
California,Placer County,Males,2002,20.69
California,Placer County,Females,2002,17.28
California,Plumas County,Males,2002,25.7
California,Plumas County,Females,2002,22.43
California,Riverside County,Males,2002,22.63
California,Riverside County,Females,2002,16.93
California,Sacramento County,Males,2002,22.48
California,Sacramento County,Females,2002,20.7
California,San Benito County,Males,2002,23.6
California,San Benito County,Females,2002,15.18
California,San Bernardino County,Males,2002,25.43
California,San Bernardino County,Females,2002,17.53
California,San Diego County,Males,2002,20.43
California,San Diego County,Females,2002,14.24
California,San Francisco County,Males,2002,20.94
California,San Francisco County,Females,2002,16.83
California,San Joaquin County,Males,2002,24.98
California,San Joaquin County,Females,2002,19.1
California,San Luis Obispo County,Males,2002,22.44
California,San Luis Obispo County,Females,2002,16.64
California,San Mateo County,Males,2002,20.38
California,San Mateo County,Females,2002,14.54
California,Santa Barbara County,Males,2002,21.98
California,Santa Barbara County,Females,2002,15.38
California,Santa Clara County,Males,2002,18.62
California,Santa Clara County,Females,2002,12.43
California,Santa Cruz County,Males,2002,20.9
California,Santa Cruz County,Females,2002,14.85
California,Shasta County,Males,2002,28.03
California,Shasta County,Females,2002,24.99
California,Sierra County,Males,2002,26.45
California,Sierra County,Females,2002,22.23
California,Siskiyou County,Males,2002,25.58
California,Siskiyou County,Females,2002,23.48
California,Solano County,Males,2002,24.14
California,Solano County,Females,2002,18.63
California,Sonoma County,Males,2002,23.69
California,Sonoma County,Females,2002,18.02
California,Stanislaus County,Males,2002,26.46
California,Stanislaus County,Females,2002,18.87
California,Sutter County,Males,2002,27.33
California,Sutter County,Females,2002,23.33
California,Tehama County,Males,2002,29.09
California,Tehama County,Females,2002,24.78
California,Trinity County,Males,2002,26.98
California,Trinity County,Females,2002,25.01
California,Tulare County,Males,2002,26.44
California,Tulare County,Females,2002,16.79
California,Tuolumne County,Males,2002,27.18
California,Tuolumne County,Females,2002,22.38
California,Ventura County,Males,2002,23.26
California,Ventura County,Females,2002,14.87
California,Yolo County,Males,2002,20.86
California,Yolo County,Females,2002,17.92
California,Yuba County,Males,2002,30.01
California,Yuba County,Females,2002,23.82
Colorado,Alamosa County,Males,2002,23.02
Colorado,Alamosa County,Females,2002,20.01
Colorado,Arapahoe County,Males,2002,22.85
Colorado,Arapahoe County,Females,2002,18.2
Colorado,Archuleta County,Males,2002,23.96
Colorado,Archuleta County,Females,2002,21.22
Colorado,Baca County,Males,2002,25.95
Colorado,Baca County,Females,2002,24.22
Colorado,Bent County,Males,2002,28.96
Colorado,Bent County,Females,2002,23.14
Colorado,Adams County/Boulder County/Broomfield County/Jefferson County/Weld County,Males,2002,22.49
Colorado,Adams County/Boulder County/Broomfield County/Jefferson County/Weld County,Females,2002,20.1
Colorado,Chaffee County,Males,2002,25.62
Colorado,Chaffee County,Females,2002,23.8
Colorado,Cheyenne County,Males,2002,23.68
Colorado,Cheyenne County,Females,2002,21.66
Colorado,Clear Creek County,Males,2002,21.69
Colorado,Clear Creek County,Females,2002,18.79
Colorado,Conejos County,Males,2002,25.66
Colorado,Conejos County,Females,2002,19.74
Colorado,Costilla County,Males,2002,25.36
Colorado,Costilla County,Females,2002,20.78
Colorado,Crowley County,Males,2002,27.76
Colorado,Crowley County,Females,2002,24.9
Colorado,Custer County,Males,2002,24.04
Colorado,Custer County,Females,2002,24.53
Colorado,Delta County,Males,2002,24.6
Colorado,Delta County,Females,2002,24.62
Colorado,Denver County,Males,2002,26.15
Colorado,Denver County,Females,2002,22.48
Colorado,Dolores County,Males,2002,27.8
Colorado,Dolores County,Females,2002,25.4
Colorado,Douglas County,Males,2002,16.06
Colorado,Douglas County,Females,2002,12.68
Colorado,Eagle County,Males,2002,20.87
Colorado,Eagle County,Females,2002,14.76
Colorado,Elbert County,Males,2002,21.53
