"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"293",2004,"New York","Female Breast",24.7,2888,9913527
"294",2004,"North Carolina","Female Breast",25.3,1226,4376070
"295",2004,"North Dakota","Female Breast",21.9,88,321008
"296",2004,"Ohio","Female Breast",27.1,1888,5874411
"297",2004,"Oklahoma","Female Breast",22.5,464,1784671
"298",2004,"Oregon","Female Breast",24,512,1800377
"299",2004,"Pennsylvania","Female Breast",27.5,2312,6390749
"300",2004,"Rhode Island","Female Breast",21.8,155,556375
"301",2004,"South Carolina","Female Breast",23.1,559,2162305
"302",2004,"South Dakota","Female Breast",22.2,106,386677
"303",2004,"Tennessee","Female Breast",25.7,885,3027931
"304",2004,"Texas","Female Breast",23.2,2473,11278402
"305",2004,"United States","Female Breast",24.5,40954,148977286
"306",2004,"Utah","Female Breast",22.9,221,1196749
"307",2004,"Vermont","Female Breast",24.6,96,315080
"308",2004,"Virginia","Female Breast",25.5,1052,3814310
"309",2004,"Washington","Female Breast",23.4,778,3107815
"310",2004,"West Virginia","Female Breast",24.7,304,927027
"311",2004,"Wisconsin","Female Breast",23.5,773,2782678
"312",2004,"Wyoming","Female Breast",24.9,70,251506
"313",2005,"Alabama","Female Breast",27.4,751,2354514
"314",2005,"Alaska","Female Breast",17.9,47,320920
"315",2005,"Arizona","Female Breast",21.1,683,2930811
"316",2005,"Arkansas","Female Breast",24.3,409,1418295
"317",2005,"California","Female Breast",22.8,4168,17996230
"318",2005,"Colorado","Female Breast",22.3,516,2308238
"319",2005,"Connecticut","Female Breast",23.5,532,1802068
"320",2005,"Delaware","Female Breast",23.5,118,435227
"321",2005,"District of Columbia","Female Breast",29,95,299613
"322",2005,"Florida","Female Breast",22.3,2693,9117950
"323",2005,"Georgia","Female Breast",23.6,1057,4555263
"324",2005,"Hawaii","Female Breast",19.5,151,644813
"325",2005,"Idaho","Female Breast",19.3,143,711983
"326",2005,"Illinois","Female Breast",25.8,1865,6423831
"327",2005,"Indiana","Female Breast",22.7,827,3191481
"328",2005,"Iowa","Female Breast",21.2,422,1503019
"329",2005,"Kansas","Female Breast",23.8,386,1387958
"330",2005,"Kentucky","Female Breast",23.7,584,2129658
"331",2005,"Louisiana","Female Breast",30,735,2263201
"332",2005,"Maine","Female Breast",22.4,198,674104
"333",2005,"Maryland","Female Breast",25.7,821,2891761
"334",2005,"Massachusetts","Female Breast",23.1,940,3309010
"335",2005,"Michigan","Female Breast",24.1,1411,5114320
"336",2005,"Minnesota","Female Breast",22.4,657,2579546
"337",2005,"Mississippi","Female Breast",26.3,429,1482601
"338",2005,"Missouri","Female Breast",27.9,974,2962870
"339",2005,"Montana","Female Breast",23.7,134,469780
"340",2005,"Nebraska","Female Breast",23.9,258,889468
"341",2005,"Nevada","Female Breast",24.1,290,1198846
"342",2005,"New Hampshire","Female Breast",23.7,183,657932
"343",2005,"New Jersey","Female Breast",27,1438,4443545
"344",2005,"New Mexico","Female Breast",22.5,241,978520
"345",2005,"New York","Female Breast",24.3,2859,9887467
"346",2005,"North Carolina","Female Breast",25,1249,4457189
"347",2005,"North Dakota","Female Breast",22.5,93,321543
"348",2005,"Ohio","Female Breast",26.5,1867,5876703
"349",2005,"Oklahoma","Female Breast",25.1,521,1796475
"350",2005,"Oregon","Female Breast",21.9,474,1823447
"351",2005,"Pennsylvania","Female Breast",24.9,2132,6405053
"352",2005,"Rhode Island","Female Breast",24.6,173,552832
"353",2005,"South Carolina","Female Breast",26.2,655,2192345
"354",2005,"South Dakota","Female Breast",23.8,117,389021
"355",2005,"Tennessee","Female Breast",26.5,928,3068439
"356",2005,"Texas","Female Breast",23,2532,11467895
"357",2005,"United States","Female Breast",24.1,41116,150319521
"358",2005,"Utah","Female Breast",24.3,240,1224741
"359",2005,"Vermont","Female Breast",20.7,79,315422
"360",2005,"Virginia","Female Breast",25.9,1095,3863646
"361",2005,"Washington","Female Breast",23.2,794,3145396
"362",2005,"West Virginia","Female Breast",26.9,329,927690
"363",2005,"Wisconsin","Female Breast",22.6,764,2797061
"364",2005,"Wyoming","Female Breast",21.3,59,253726
"365",2006,"Alabama","Female Breast",23.6,660,2385480
"366",2006,"Alaska","Female Breast",27.7,74,325121
"367",2006,"Arizona","Female Breast",22.3,750,3026134
"368",2006,"Arkansas","Female Breast",23.7,411,1438428
"369",2006,"California","Female Breast",22.5,4179,18097471
"370",2006,"Colorado","Female Breast",20.8,494,2352960
"371",2006,"Connecticut","Female Breast",23.5,537,1807675
"372",2006,"Delaware","Female Breast",21.2,110,442766
"373",2006,"District of Columbia","Female Breast",28.4,95,301322
"374",2006,"Florida","Female Breast",21.6,2646,9280080
"375",2006,"Georgia","Female Breast",24.1,1112,4670606
"376",2006,"Hawaii","Female Breast",18.7,146,652351
"377",2006,"Idaho","Female Breast",20.7,160,732104
"378",2006,"Illinois","Female Breast",24.3,1771,6440022
"379",2006,"Indiana","Female Breast",25.5,944,3218203
"380",2006,"Iowa","Female Breast",22.6,446,1511124
"381",2006,"Kansas","Female Breast",23.9,396,1394092
"382",2006,"Kentucky","Female Breast",23.9,599,2149096
