"","Year","Area","Cancer.Type","Age.Adjusted.Rate","Death.Count","Population"
"300",2004,"Rhode Island","Lung and Bronchus",55.4,669,1074579
"301",2004,"South Carolina","Lung and Bronchus",57.9,2503,4210921
"302",2004,"South Dakota","Lung and Bronchus",49.5,424,770396
"303",2004,"Tennessee","Lung and Bronchus",68,4170,5910809
"304",2004,"Texas","Lung and Bronchus",52.3,9697,22394023
"305",2004,"United States","Lung and Bronchus",53.4,158006,292805298
"306",2004,"Utah","Lung and Bronchus",26.6,454,2401580
"307",2004,"Vermont","Lung and Bronchus",48.3,327,619920
"308",2004,"Virginia","Lung and Bronchus",56.3,3992,7475575
"309",2004,"Washington","Lung and Bronchus",52.2,3066,6178645
"310",2004,"West Virginia","Lung and Bronchus",65.7,1469,1816438
"311",2004,"Wisconsin","Lung and Bronchus",50,2905,5514026
"312",2004,"Wyoming","Lung and Bronchus",40.2,205,509106
"313",2005,"Alabama","Lung and Bronchus",64.1,3146,4565917
"314",2005,"Alaska","Lung and Bronchus",51.6,216,666946
"315",2005,"Arizona","Lung and Bronchus",43.8,2648,5839077
"316",2005,"Arkansas","Lung and Bronchus",70.3,2176,2781097
"317",2005,"California","Lung and Bronchus",41.9,13345,35827943
"318",2005,"Colorado","Lung and Bronchus",39,1528,4631888
"319",2005,"Connecticut","Lung and Bronchus",46.8,1830,3506956
"320",2005,"Delaware","Lung and Bronchus",62.3,568,845150
"321",2005,"District of Columbia","Lung and Bronchus",51.9,289,567136
"322",2005,"Florida","Lung and Bronchus",52.6,12104,17842038
"323",2005,"Georgia","Lung and Bronchus",57.8,4366,8925922
"324",2005,"Hawaii","Lung and Bronchus",40,572,1292729
"325",2005,"Idaho","Lung and Bronchus",45.7,612,1428241
"326",2005,"Illinois","Lung and Bronchus",53,6613,12609903
"327",2005,"Indiana","Lung and Bronchus",62.9,4021,6278616
"328",2005,"Iowa","Lung and Bronchus",53.8,1853,2964454
"329",2005,"Kansas","Lung and Bronchus",57,1642,2745299
"330",2005,"Kentucky","Lung and Bronchus",77.3,3390,4182742
"331",2005,"Louisiana","Lung and Bronchus",65.8,2847,4411396
"332",2005,"Maine","Lung and Bronchus",60,946,1318787
"333",2005,"Maryland","Lung and Bronchus",55.1,2989,5592379
"334",2005,"Massachusetts","Lung and Bronchus",52.4,3638,6403290
"335",2005,"Michigan","Lung and Bronchus",55.7,5795,10051137
"336",2005,"Minnesota","Lung and Bronchus",44.7,2282,5119598
"337",2005,"Mississippi","Lung and Bronchus",65.1,1887,2876229
"338",2005,"Missouri","Lung and Bronchus",62.1,3887,5790300
"339",2005,"Montana","Lung and Bronchus",52.5,550,940102
"340",2005,"Nebraska","Lung and Bronchus",48.4,905,1761497
"341",2005,"Nevada","Lung and Bronchus",58.1,1290,2432143
"342",2005,"New Hampshire","Lung and Bronchus",54.5,733,1298492
"343",2005,"New Jersey","Lung and Bronchus",48.3,4452,8651974
"344",2005,"New Mexico","Lung and Bronchus",36.4,705,1932274
"345",2005,"New York","Lung and Bronchus",45.8,9307,19132610
"346",2005,"North Carolina","Lung and Bronchus",59.6,5258,8705407
"347",2005,"North Dakota","Lung and Bronchus",42.3,310,646089
"348",2005,"Ohio","Lung and Bronchus",59.3,7388,11463320
"349",2005,"Oklahoma","Lung and Bronchus",62.5,2375,3548597
"350",2005,"Oregon","Lung and Bronchus",54.3,2105,3613202
"351",2005,"Pennsylvania","Lung and Bronchus",54.1,8155,12449990
"352",2005,"Rhode Island","Lung and Bronchus",50.8,610,1067916
"353",2005,"South Carolina","Lung and Bronchus",61.1,2712,4270150
"354",2005,"South Dakota","Lung and Bronchus",53.4,469,775493
"355",2005,"Tennessee","Lung and Bronchus",69.8,4370,5991057
"356",2005,"Texas","Lung and Bronchus",51,9684,22773020
"357",2005,"United States","Lung and Bronchus",52.9,159217,295516599
"358",2005,"Utah","Lung and Bronchus",24.4,433,2457719
"359",2005,"Vermont","Lung and Bronchus",49.5,336,621215
"360",2005,"Virginia","Lung and Bronchus",57,4151,7577105
"361",2005,"Washington","Lung and Bronchus",51.9,3127,6257305
"362",2005,"West Virginia","Lung and Bronchus",66.1,1494,1820492
"363",2005,"Wisconsin","Lung and Bronchus",48.3,2857,5546166
"364",2005,"Wyoming","Lung and Bronchus",47.8,251,514157
"365",2006,"Alabama","Lung and Bronchus",60.2,3021,4628981
"366",2006,"Alaska","Lung and Bronchus",47.4,206,675302
"367",2006,"Arizona","Lung and Bronchus",43.7,2741,6029141
"368",2006,"Arkansas","Lung and Bronchus",65.1,2066,2821761
"369",2006,"California","Lung and Bronchus",40.9,13199,36021202
"370",2006,"Colorado","Lung and Bronchus",38.2,1558,4720423
"371",2006,"Connecticut","Lung and Bronchus",46.5,1834,3517460
"372",2006,"Delaware","Lung and Bronchus",59.1,557,859268
"373",2006,"District of Columbia","Lung and Bronchus",49.2,271,570681
"374",2006,"Florida","Lung and Bronchus",51.4,12018,18166990
"375",2006,"Georgia","Lung and Bronchus",56.7,4456,9155813
"376",2006,"Hawaii","Lung and Bronchus",38.9,565,1309731
"377",2006,"Idaho","Lung and Bronchus",41.9,589,1468669
"378",2006,"Illinois","Lung and Bronchus",52.8,6671,12643955
