state,county,sex,year,total_mean
Georgia,Franklin County,Males,2002,31.02
Georgia,Fulton County,Males,2002,23.88
Georgia,Gilmer County,Males,2002,31.18
Georgia,Glascock County,Males,2002,31.92
Georgia,Glynn County,Males,2002,27.14
Georgia,Gordon County,Males,2002,32.87
Georgia,Grady County,Males,2002,31.78
Georgia,Greene County,Males,2002,29.9
Georgia,Gwinnett County,Males,2002,23.94
Georgia,Habersham County,Males,2002,29.88
Georgia,Hall County,Males,2002,30.05
Georgia,Hancock County,Males,2002,32.81
Georgia,Haralson County,Males,2002,32.75
Georgia,Harris County,Males,2002,24.71
Georgia,Hart County,Males,2002,29.87
Georgia,Heard County,Males,2002,32.36
Georgia,Henry County,Males,2002,26.56
Georgia,Houston County,Males,2002,26.89
Georgia,Irwin County,Males,2002,34.28
Georgia,Jackson County,Males,2002,31.14
Georgia,Jasper County,Males,2002,31.11
Georgia,Jeff Davis County,Males,2002,33.46
Georgia,Jefferson County,Males,2002,32.26
Georgia,Jenkins County,Males,2002,33.11
Georgia,Johnson County,Males,2002,32.19
Georgia,Jones County,Males,2002,27.92
Georgia,Lamar County,Males,2002,32.71
Georgia,Lanier County,Males,2002,32.13
Georgia,Laurens County,Males,2002,31.0
Georgia,Lee County,Males,2002,27.99
Georgia,Liberty County,Males,2002,31.32
Georgia,Lincoln County,Males,2002,30.87
Georgia,Long County,Males,2002,32.5
Georgia,Lowndes County,Males,2002,27.94
Georgia,Lumpkin County,Males,2002,29.37
Georgia,McDuffie County,Males,2002,30.93
Georgia,McIntosh County,Males,2002,32.49
Georgia,Macon County,Males,2002,33.14
Georgia,Madison County,Males,2002,30.07
Georgia,Marion County,Males,2002,31.87
Georgia,Meriwether County,Males,2002,32.25
Georgia,Miller County,Males,2002,29.88
Georgia,Mitchell County,Males,2002,33.78
Georgia,Monroe County,Males,2002,28.33
Georgia,Montgomery County,Males,2002,28.15
Georgia,Morgan County,Males,2002,28.01
Georgia,Murray County,Males,2002,35.59
Georgia,Muscogee County,Males,2002,29.36
Georgia,Newton County,Males,2002,31.31
Georgia,Oconee County,Males,2002,20.0
Georgia,Oglethorpe County,Males,2002,28.88
Georgia,Paulding County,Males,2002,29.57
Georgia,Peach County,Males,2002,29.31
Georgia,Pickens County,Males,2002,28.97
Georgia,Pierce County,Males,2002,32.03
Georgia,Pike County,Males,2002,28.8
Georgia,Polk County,Males,2002,33.96
Georgia,Pulaski County,Males,2002,30.12
Georgia,Putnam County,Males,2002,29.32
Georgia,Quitman County,Males,2002,32.68
Georgia,Rabun County,Males,2002,28.51
Georgia,Randolph County,Males,2002,33.18
Georgia,Richmond County,Males,2002,31.12
Georgia,Rockdale County,Males,2002,27.57
Georgia,Schley County,Males,2002,31.98
Georgia,Screven County,Males,2002,31.35
Georgia,Seminole County,Males,2002,31.91
Georgia,Spalding County,Males,2002,32.15
Georgia,Stephens County,Males,2002,30.62
Georgia,Stewart County,Males,2002,31.21
Georgia,Sumter County,Males,2002,30.33
Georgia,Talbot County,Males,2002,31.73
Georgia,Taliaferro County,Males,2002,35.42
Georgia,Tattnall County,Males,2002,33.31
Georgia,Taylor County,Males,2002,32.73
Georgia,Telfair County,Males,2002,35.2
Georgia,Terrell County,Males,2002,33.31
Georgia,Thomas County,Males,2002,30.52
Georgia,Tift County,Males,2002,31.24
Georgia,Toombs County,Males,2002,31.7
Georgia,Towns County,Males,2002,28.04
Georgia,Treutlen County,Males,2002,33.75
Georgia,Troup County,Males,2002,30.1
Georgia,Turner County,Males,2002,33.7
Georgia,Twiggs County,Males,2002,32.37
Georgia,Union County,Males,2002,29.2
Georgia,Upson County,Males,2002,33.78
Georgia,Walker County,Males,2002,33.04
Georgia,Walton County,Males,2002,29.95
Georgia,Ware County,Males,2002,33.84
Georgia,Warren County,Males,2002,33.89
Georgia,Washington County,Males,2002,32.77
Georgia,Wayne County,Males,2002,31.22
Georgia,Webster County,Males,2002,31.88
Georgia,Wheeler County,Males,2002,31.17
Georgia,White County,Males,2002,28.74
Georgia,Whitfield County,Males,2002,33.21
Georgia,Wilcox County,Males,2002,30.77
Georgia,Wilkes County,Males,2002,31.93
Georgia,Wilkinson County,Males,2002,31.47
Georgia,Worth County,Males,2002,32.15
Hawaii,Hawaii County,Males,2002,26.52
Hawaii,Honolulu County,Males,2002,23.89
Hawaii,Kauai County,Males,2002,27.77
Hawaii,Kalawao County/Maui County,Males,2002,27.23
Idaho,Ada County,Males,2002,22.69
Idaho,Adams County,Males,2002,26.15
Idaho,Bannock County,Males,2002,22.95
Idaho,Bear Lake County,Males,2002,22.64
Idaho,Benewah County,Males,2002,30.68
Idaho,Bingham County,Males,2002,24.05
Idaho,Blaine County,Males,2002,19.65
Idaho,Boise County,Males,2002,25.54
Idaho,Bonner County,Males,2002,26.34
Idaho,Bonneville County,Males,2002,21.31
Idaho,Boundary County,Males,2002,29.53
Idaho,Butte County,Males,2002,25.66
Idaho,Camas County,Males,2002,24.09
Idaho,Canyon County,Males,2002,25.88
Idaho,Caribou County,Males,2002,22.74
Idaho,Cassia County,Males,2002,23.38
