state,county,sex,year,total_mean
California,San Joaquin County,Females,2002,19.1
California,San Luis Obispo County,Females,2002,16.64
California,San Mateo County,Females,2002,14.54
California,Santa Barbara County,Females,2002,15.38
California,Santa Clara County,Females,2002,12.43
California,Santa Cruz County,Females,2002,14.85
California,Shasta County,Females,2002,24.99
California,Sierra County,Females,2002,22.23
California,Siskiyou County,Females,2002,23.48
California,Solano County,Females,2002,18.63
California,Sonoma County,Females,2002,18.02
California,Stanislaus County,Females,2002,18.87
California,Sutter County,Females,2002,23.33
California,Tehama County,Females,2002,24.78
California,Trinity County,Females,2002,25.01
California,Tulare County,Females,2002,16.79
California,Tuolumne County,Females,2002,22.38
California,Ventura County,Females,2002,14.87
California,Yolo County,Females,2002,17.92
California,Yuba County,Females,2002,23.82
Colorado,Alamosa County,Females,2002,20.01
Colorado,Arapahoe County,Females,2002,18.2
Colorado,Archuleta County,Females,2002,21.22
Colorado,Baca County,Females,2002,24.22
Colorado,Bent County,Females,2002,23.14
Colorado,Adams County/Boulder County/Broomfield County/Jefferson County/Weld County,Females,2002,20.1
Colorado,Chaffee County,Females,2002,23.8
Colorado,Cheyenne County,Females,2002,21.66
Colorado,Clear Creek County,Females,2002,18.79
Colorado,Conejos County,Females,2002,19.74
Colorado,Costilla County,Females,2002,20.78
Colorado,Crowley County,Females,2002,24.9
Colorado,Custer County,Females,2002,24.53
Colorado,Delta County,Females,2002,24.62
Colorado,Denver County,Females,2002,22.48
Colorado,Dolores County,Females,2002,25.4
Colorado,Douglas County,Females,2002,12.68
Colorado,Eagle County,Females,2002,14.76
Colorado,Elbert County,Females,2002,18.64
Colorado,El Paso County,Females,2002,19.65
Colorado,Fremont County,Females,2002,28.51
Colorado,Garfield County,Females,2002,20.45
Colorado,Gilpin County,Females,2002,19.73
Colorado,Grand County,Females,2002,19.23
Colorado,Gunnison County,Females,2002,17.96
Colorado,Hinsdale County,Females,2002,20.13
Colorado,Huerfano County,Females,2002,23.14
Colorado,Jackson County,Females,2002,21.54
Colorado,Kiowa County,Females,2002,22.04
Colorado,Kit Carson County,Females,2002,22.01
Colorado,Lake County,Females,2002,21.57
Colorado,La Plata County,Females,2002,19.35
Colorado,Larimer County,Females,2002,18.28
Colorado,Las Animas County,Females,2002,23.16
Colorado,Lincoln County,Females,2002,23.51
Colorado,Logan County,Females,2002,24.94
Colorado,Mesa County,Females,2002,24.21
Colorado,Mineral County,Females,2002,19.48
Colorado,Moffat County,Females,2002,25.96
Colorado,Montezuma County,Females,2002,22.27
Colorado,Montrose County,Females,2002,24.07
Colorado,Morgan County,Females,2002,22.83
Colorado,Otero County,Females,2002,23.21
Colorado,Ouray County,Females,2002,18.89
Colorado,Park County,Females,2002,20.28
Colorado,Phillips County,Females,2002,20.67
Colorado,Pitkin County,Females,2002,15.3
Colorado,Prowers County,Females,2002,22.73
Colorado,Pueblo County,Females,2002,26.62
Colorado,Rio Blanco County,Females,2002,19.37
Colorado,Rio Grande County,Females,2002,21.28
Colorado,Routt County,Females,2002,16.72
Colorado,Saguache County,Females,2002,21.78
Colorado,San Juan County,Females,2002,17.46
Colorado,San Miguel County,Females,2002,16.02
Colorado,Sedgwick County,Females,2002,22.48
Colorado,Summit County,Females,2002,15.32
Colorado,Teller County,Females,2002,21.02
Colorado,Washington County,Females,2002,21.49
Colorado,Yuma County,Females,2002,20.85
Connecticut,Fairfield County,Females,2002,18.44
Connecticut,Hartford County,Females,2002,21.18
Connecticut,Litchfield County,Females,2002,21.49
Connecticut,Middlesex County,Females,2002,20.88
Connecticut,New Haven County,Females,2002,22.78
Connecticut,New London County,Females,2002,24.41
Connecticut,Tolland County,Females,2002,21.67
Connecticut,Windham County,Females,2002,26.68
Delaware,Kent County,Females,2002,23.4
Delaware,New Castle County,Females,2002,22.0
Delaware,Sussex County,Females,2002,25.36
District Of Columbia,District of Columbia,Females,2002,20.88
Florida,Alachua County,Females,2002,18.69
Florida,Baker County,Females,2002,27.95
Florida,Bay County,Females,2002,25.67
Florida,Bradford County,Females,2002,26.75
Florida,Brevard County,Females,2002,28.17
Florida,Broward County,Females,2002,20.78
Florida,Calhoun County,Females,2002,27.74
Florida,Charlotte County,Females,2002,25.58
Florida,Citrus County,Females,2002,29.72
Florida,Clay County,Females,2002,25.77
Florida,Collier County,Females,2002,21.0
Florida,Columbia County,Females,2002,25.06
Florida,DeSoto County,Females,2002,27.24
Florida,Dixie County,Females,2002,31.13
Florida,Duval County,Females,2002,22.19
Florida,Escambia County,Females,2002,26.15
Florida,Flagler County,Females,2002,28.69
Florida,Franklin County,Females,2002,29.81
Florida,Gadsden County,Females,2002,21.56
Florida,Gilchrist County,Females,2002,27.18
Florida,Glades County,Females,2002,27.09
Florida,Gulf County,Females,2002,27.56
Florida,Hamilton County,Females,2002,25.69
Florida,Hardee County,Females,2002,26.93
Florida,Hendry County,Females,2002,25.75
Florida,Hernando County,Females,2002,31.26
Florida,Highlands County,Females,2002,25.31
Florida,Hillsborough County,Females,2002,23.76
Florida,Holmes County,Females,2002,28.0
Florida,Indian River County,Females,2002,26.79
Florida,Jackson County,Females,2002,22.67
Florida,Jefferson County,Females,2002,21.55
Florida,Lafayette County,Females,2002,28.76
Florida,Lake County,Females,2002,25.93
Florida,Lee County,Females,2002,25.79
Florida,Leon County,Females,2002,16.9
Florida,Levy County,Females,2002,27.6
Florida,Liberty County,Females,2002,28.79
Florida,Madison County,Females,2002,26.45
Florida,Manatee County,Females,2002,28.96
Florida,Marion County,Females,2002,28.22
Florida,Martin County,Females,2002,26.33
Florida,Miami-Dade County,Females,2002,17.21
Florida,Monroe County,Females,2002,21.6
Florida,Nassau County,Females,2002,23.65
Florida,Okaloosa County,Females,2002,22.75
Florida,Okeechobee County,Females,2002,29.33
Florida,Orange County,Females,2002,20.14
Florida,Osceola County,Females,2002,23.7
Florida,Palm Beach County,Females,2002,23.65
Florida,Pasco County,Females,2002,29.46
Florida,Pinellas County,Females,2002,24.77
Florida,Polk County,Females,2002,26.18
Florida,Putnam County,Females,2002,30.87
Florida,St. Johns County,Females,2002,24.01
Florida,St. Lucie County,Females,2002,29.58
Florida,Santa Rosa County,Females,2002,26.2
Florida,Sarasota County,Females,2002,26.48
Florida,Seminole County,Females,2002,22.0
Florida,Sumter County,Females,2002,28.91
Florida,Suwannee County,Females,2002,27.58
Florida,Taylor County,Females,2002,28.99
Florida,Union County,Females,2002,26.59
Florida,Volusia County,Females,2002,27.21
Florida,Wakulla County,Females,2002,25.56
Florida,Walton County,Females,2002,25.85
Florida,Washington County,Females,2002,25.84
Georgia,Appling County,Females,2002,23.77
Georgia,Atkinson County,Females,2002,24.46
Georgia,Bacon County,Females,2002,26.17
Georgia,Baker County,Females,2002,21.13
Georgia,Baldwin County,Females,2002,22.57
Georgia,Banks County,Females,2002,26.8
Georgia,Barrow County,Females,2002,27.03
Georgia,Bartow County,Females,2002,24.5
Georgia,Ben Hill County,Females,2002,24.38
Georgia,Berrien County,Females,2002,26.22
Georgia,Bibb County,Females,2002,22.87
Georgia,Bleckley County,Females,2002,25.73
Georgia,Brantley County,Females,2002,29.1
Georgia,Brooks County,Females,2002,23.19
Georgia,Bryan County,Females,2002,21.66
Georgia,Bulloch County,Females,2002,18.31
Georgia,Burke County,Females,2002,23.15
Georgia,Butts County,Females,2002,25.21
Georgia,Calhoun County,Females,2002,20.92
Georgia,Camden County,Females,2002,22.73
Georgia,Candler County,Females,2002,24.86
Georgia,Carroll County,Females,2002,25.1
Georgia,Catoosa County,Females,2002,26.03
Georgia,Charlton County,Females,2002,27.0
Georgia,Chatham County,Females,2002,22.03
Georgia,Chattahoochee County,Females,2002,19.78
Georgia,Chattooga County,Females,2002,27.57
Georgia,Cherokee County,Females,2002,22.6
Georgia,Clarke County,Females,2002,16.73
Georgia,Clay County,Females,2002,21.42
Georgia,Clayton County,Females,2002,21.96
Georgia,Clinch County,Females,2002,26.16
Georgia,Cobb County,Females,2002,17.1
Georgia,Coffee County,Females,2002,23.97
Georgia,Colquitt County,Females,2002,23.91
Georgia,Columbia County,Females,2002,21.15
Georgia,Cook County,Females,2002,23.87
Georgia,Coweta County,Females,2002,22.01
Georgia,Crawford County,Females,2002,27.04
Georgia,Crisp County,Females,2002,21.76
Georgia,Dade County,Females,2002,26.91
Georgia,Dawson County,Females,2002,26.47
Georgia,Decatur County,Females,2002,23.63
Georgia,DeKalb County,Females,2002,17.39
Georgia,Dodge County,Females,2002,25.25
Georgia,Dooly County,Females,2002,22.9
Georgia,Dougherty County,Females,2002,19.85
Georgia,Douglas County,Females,2002,24.31
Georgia,Early County,Females,2002,22.43
Georgia,Echols County,Females,2002,25.89
Georgia,Effingham County,Females,2002,22.58
Georgia,Elbert County,Females,2002,27.62
Georgia,Emanuel County,Females,2002,23.23
Georgia,Evans County,Females,2002,25.93
Georgia,Fannin County,Females,2002,28.79
Georgia,Fayette County,Females,2002,17.47
Georgia,Floyd County,Females,2002,23.36
Georgia,Forsyth County,Females,2002,18.75
Georgia,Franklin County,Females,2002,26.92
Georgia,Fulton County,Females,2002,17.33
Georgia,Gilmer County,Females,2002,27.06
Georgia,Glascock County,Females,2002,27.21
Georgia,Glynn County,Females,2002,23.68
Georgia,Gordon County,Females,2002,26.6
Georgia,Grady County,Females,2002,24.1
Georgia,Greene County,Females,2002,22.45
Georgia,Gwinnett County,Females,2002,19.14
Georgia,Habersham County,Females,2002,24.39
Georgia,Hall County,Females,2002,22.06
Georgia,Hancock County,Females,2002,22.01
Georgia,Haralson County,Females,2002,28.17
Georgia,Harris County,Females,2002,19.91
Georgia,Hart County,Females,2002,27.52
Georgia,Heard County,Females,2002,29.25
Georgia,Henry County,Females,2002,21.0
Georgia,Houston County,Females,2002,25.07
Georgia,Irwin County,Females,2002,25.41
Georgia,Jackson County,Females,2002,25.11
Georgia,Jasper County,Females,2002,24.66
Georgia,Jeff Davis County,Females,2002,24.32
Georgia,Jefferson County,Females,2002,21.91
Georgia,Jenkins County,Females,2002,22.37
Georgia,Johnson County,Females,2002,22.82
Georgia,Jones County,Females,2002,23.86
Georgia,Lamar County,Females,2002,25.63
Georgia,Lanier County,Females,2002,26.14
Georgia,Laurens County,Females,2002,22.4
Georgia,Lee County,Females,2002,21.37
Georgia,Liberty County,Females,2002,23.56
Georgia,Lincoln County,Females,2002,26.3
Georgia,Long County,Females,2002,25.52
Georgia,Lowndes County,Females,2002,21.28
Georgia,Lumpkin County,Females,2002,25.0
Georgia,McDuffie County,Females,2002,25.84
Georgia,McIntosh County,Females,2002,25.22
Georgia,Macon County,Females,2002,23.68
Georgia,Madison County,Females,2002,26.57
Georgia,Marion County,Females,2002,25.49
Georgia,Meriwether County,Females,2002,24.66
Georgia,Miller County,Females,2002,24.79
Georgia,Mitchell County,Females,2002,21.62
Georgia,Monroe County,Females,2002,24.17
Georgia,Montgomery County,Females,2002,21.35
Georgia,Morgan County,Females,2002,20.96
Georgia,Murray County,Females,2002,29.98
Georgia,Muscogee County,Females,2002,20.31
Georgia,Newton County,Females,2002,22.78
Georgia,Oconee County,Females,2002,17.88
Georgia,Oglethorpe County,Females,2002,25.0
Georgia,Paulding County,Females,2002,24.67
Georgia,Peach County,Females,2002,23.11
Georgia,Pickens County,Females,2002,25.49
Georgia,Pierce County,Females,2002,26.46
Georgia,Pike County,Females,2002,23.8
Georgia,Polk County,Females,2002,26.55
Georgia,Pulaski County,Females,2002,26.46
Georgia,Putnam County,Females,2002,22.28
Georgia,Quitman County,Females,2002,26.18
Georgia,Rabun County,Females,2002,25.39
Georgia,Randolph County,Females,2002,22.85
Georgia,Richmond County,Females,2002,22.78
Georgia,Rockdale County,Females,2002,20.57
Georgia,Schley County,Females,2002,23.81
Georgia,Screven County,Females,2002,21.38
Georgia,Seminole County,Females,2002,23.92
Georgia,Spalding County,Females,2002,25.0
Georgia,Stephens County,Females,2002,26.34
Georgia,Stewart County,Females,2002,23.84
Georgia,Sumter County,Females,2002,19.63
Georgia,Talbot County,Females,2002,22.17
Georgia,Taliaferro County,Females,2002,25.58
Georgia,Tattnall County,Females,2002,25.24
Georgia,Taylor County,Females,2002,25.98
Georgia,Telfair County,Females,2002,24.37
Georgia,Terrell County,Females,2002,21.07
Georgia,Thomas County,Females,2002,21.46
Georgia,Tift County,Females,2002,22.02
Georgia,Toombs County,Females,2002,22.99
Georgia,Towns County,Females,2002,24.54
Georgia,Treutlen County,Females,2002,23.86
Georgia,Troup County,Females,2002,24.51
Georgia,Turner County,Females,2002,22.06
Georgia,Twiggs County,Females,2002,26.14
Georgia,Union County,Females,2002,25.63
Georgia,Upson County,Females,2002,28.69
Georgia,Walker County,Females,2002,28.45
Georgia,Walton County,Females,2002,26.1
Georgia,Ware County,Females,2002,24.52
Georgia,Warren County,Females,2002,24.19
Georgia,Washington County,Females,2002,22.68
Georgia,Wayne County,Females,2002,25.56
Georgia,Webster County,Females,2002,22.95
Georgia,Wheeler County,Females,2002,23.39
Georgia,White County,Females,2002,23.78
Georgia,Whitfield County,Females,2002,26.43
Georgia,Wilcox County,Females,2002,24.04
Georgia,Wilkes County,Females,2002,25.66
Georgia,Wilkinson County,Females,2002,22.65
Georgia,Worth County,Females,2002,22.16
Hawaii,Hawaii County,Females,2002,20.8
Hawaii,Honolulu County,Females,2002,16.64
Hawaii,Kauai County,Females,2002,19.99
Hawaii,Kalawao County/Maui County,Females,2002,20.84
Idaho,Ada County,Females,2002,20.49
Idaho,Adams County,Females,2002,24.01
Idaho,Bannock County,Females,2002,20.18
Idaho,Bear Lake County,Females,2002,18.89
Idaho,Benewah County,Females,2002,28.92
Idaho,Bingham County,Females,2002,19.75
Idaho,Blaine County,Females,2002,16.08
Idaho,Boise County,Females,2002,21.97
Idaho,Bonner County,Females,2002,26.83
Idaho,Bonneville County,Females,2002,15.81
Idaho,Boundary County,Females,2002,28.08
Idaho,Butte County,Females,2002,23.33
Idaho,Camas County,Females,2002,19.26
Idaho,Canyon County,Females,2002,21.15
Idaho,Caribou County,Females,2002,18.94
Idaho,Cassia County,Females,2002,21.81
Idaho,Clark County,Females,2002,20.58
Idaho,Clearwater County,Females,2002,26.94
Idaho,Custer County,Females,2002,23.82
Idaho,Elmore County,Females,2002,23.32
Idaho,Franklin County,Females,2002,16.79
Idaho,Fremont County,Females,2002,18.46
Idaho,Gem County,Females,2002,24.79
Idaho,Gooding County,Females,2002,24.21
Idaho,Idaho County,Females,2002,23.22
Idaho,Jefferson County,Females,2002,15.39
Idaho,Jerome County,Females,2002,23.3
Idaho,Kootenai County,Females,2002,22.98
Idaho,Latah County,Females,2002,16.83
Idaho,Lemhi County,Females,2002,25.54
Idaho,Lewis County,Females,2002,23.4
Idaho,Lincoln County,Females,2002,21.02
Idaho,Madison County,Females,2002,11.66
Idaho,Minidoka County,Females,2002,21.79
Idaho,Nez Perce County,Females,2002,25.36
Idaho,Oneida County,Females,2002,17.52
Idaho,Owyhee County,Females,2002,25.04
Idaho,Payette County,Females,2002,25.26
Idaho,Power County,Females,2002,21.12
Idaho,Shoshone County,Females,2002,29.95
Idaho,Teton County,Females,2002,13.18
Idaho,Twin Falls County,Females,2002,25.32
Idaho,Valley County,Females,2002,20.12
Idaho,Washington County,Females,2002,25.12
Illinois,Adams County,Females,2002,26.31
Illinois,Alexander County,Females,2002,27.47
Illinois,Bond County,Females,2002,23.8
Illinois,Boone County,Females,2002,22.45
Illinois,Brown County,Females,2002,26.21
Illinois,Bureau County,Females,2002,23.67
Illinois,Calhoun County,Females,2002,23.88
