Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2001,California,Liver and Intrahepatic Bile Duct,5.8,1760,34479458
2001,Colorado,Liver and Intrahepatic Bile Duct,4.1,153,4425687
2001,Connecticut,Liver and Intrahepatic Bile Duct,4.4,167,3432835
2001,Delaware,Liver and Intrahepatic Bile Duct,3.4,28,795699
2001,District of Columbia,Liver and Intrahepatic Bile Duct,5,28,574504
2001,Florida,Liver and Intrahepatic Bile Duct,4.7,980,16356966
2001,Georgia,Liver and Intrahepatic Bile Duct,4,273,8377038
2001,Hawaii,Liver and Intrahepatic Bile Duct,7.1,92,1225948
2001,Idaho,Liver and Intrahepatic Bile Duct,3.1,38,1319962
2001,Illinois,Liver and Intrahepatic Bile Duct,4.7,565,12488445
2001,Indiana,Liver and Intrahepatic Bile Duct,4.1,250,6127760
2001,Iowa,Liver and Intrahepatic Bile Duct,3.3,111,2931997
2001,Kansas,Liver and Intrahepatic Bile Duct,4.1,115,2702162
2001,Kentucky,Liver and Intrahepatic Bile Duct,4.3,177,4068132
2001,Louisiana,Liver and Intrahepatic Bile Duct,6.2,260,4477875
2001,Maine,Liver and Intrahepatic Bile Duct,3.5,51,1285692
2001,Maryland,Liver and Intrahepatic Bile Duct,4.5,232,5374691
2001,Massachusetts,Liver and Intrahepatic Bile Duct,5.1,350,6397634
2001,Michigan,Liver and Intrahepatic Bile Duct,4.6,451,9991120
2001,Minnesota,Liver and Intrahepatic Bile Duct,4.1,196,4982796
2001,Mississippi,Liver and Intrahepatic Bile Duct,6.5,179,2852994
2001,Missouri,Liver and Intrahepatic Bile Duct,4.4,265,5641142
2001,Montana,Liver and Intrahepatic Bile Duct,3.6,35,906961
2001,Nebraska,Liver and Intrahepatic Bile Duct,3,54,1719836
2001,Nevada,Liver and Intrahepatic Bile Duct,4.6,88,2098399
2001,New Hampshire,Liver and Intrahepatic Bile Duct,4.9,60,1255517
2001,New Jersey,Liver and Intrahepatic Bile Duct,4.9,437,8492671
2001,New Mexico,Liver and Intrahepatic Bile Duct,5.5,97,1831690
2001,New York,Liver and Intrahepatic Bile Duct,4.7,926,19082838
2001,North Carolina,Liver and Intrahepatic Bile Duct,4.1,327,8210122
2001,North Dakota,Liver and Intrahepatic Bile Duct,3.9,29,639062
2001,Ohio,Liver and Intrahepatic Bile Duct,4,474,11387404
2001,Oklahoma,Liver and Intrahepatic Bile Duct,3.8,136,3467100
2001,Oregon,Liver and Intrahepatic Bile Duct,3.5,126,3467937
2001,Pennsylvania,Liver and Intrahepatic Bile Duct,4.1,597,12298970
2001,Rhode Island,Liver and Intrahepatic Bile Duct,4.1,47,1057142
2001,South Carolina,Liver and Intrahepatic Bile Duct,4.5,178,4064995
2001,South Dakota,Liver and Intrahepatic Bile Duct,4.6,36,757972
2001,Tennessee,Liver and Intrahepatic Bile Duct,4.9,281,5750789
2001,Texas,Liver and Intrahepatic Bile Duct,6.3,1105,21319622
2001,United States,Liver and Intrahepatic Bile Duct,4.7,13351,284968955
2001,Utah,Liver and Intrahepatic Bile Duct,3.4,56,2283715
2001,Vermont,Liver and Intrahepatic Bile Duct,3.6,23,612223
2001,Virginia,Liver and Intrahepatic Bile Duct,4,272,7198362
2001,Washington,Liver and Intrahepatic Bile Duct,4.8,274,5985722
2001,West Virginia,Liver and Intrahepatic Bile Duct,3.8,81,1801481
2001,Wisconsin,Liver and Intrahepatic Bile Duct,4.3,239,5406835
2001,Wyoming,Liver and Intrahepatic Bile Duct,5,24,494657
2002,Alabama,Liver and Intrahepatic Bile Duct,5.9,276,4480089
2002,Alaska,Liver and Intrahepatic Bile Duct,4.4,20,642337
2002,Arizona,Liver and Intrahepatic Bile Duct,4.8,257,5396255
2002,Arkansas,Liver and Intrahepatic Bile Duct,4.9,143,2705927
2002,California,Liver and Intrahepatic Bile Duct,6.1,1876,34871843
2002,Colorado,Liver and Intrahepatic Bile Duct,3.7,142,4490406
2002,Connecticut,Liver and Intrahepatic Bile Duct,4,152,3458749
2002,Delaware,Liver and Intrahepatic Bile Duct,5,41,806169
2002,District of Columbia,Liver and Intrahepatic Bile Duct,6.6,37,573158
2002,Florida,Liver and Intrahepatic Bile Duct,4.5,956,16689370
2002,Georgia,Liver and Intrahepatic Bile Duct,4.6,326,8508256
2002,Hawaii,Liver and Intrahepatic Bile Duct,7,93,1239613
2002,Idaho,Liver and Intrahepatic Bile Duct,4.1,50,1340372
2002,Illinois,Liver and Intrahepatic Bile Duct,4.7,575,12525556
2002,Indiana,Liver and Intrahepatic Bile Duct,4.1,252,6155967
2002,Iowa,Liver and Intrahepatic Bile Duct,3.3,109,2934234
2002,Kansas,Liver and Intrahepatic Bile Duct,4.2,119,2713535
2002,Kentucky,Liver and Intrahepatic Bile Duct,4.9,203,4089875
2002,Louisiana,Liver and Intrahepatic Bile Duct,6.7,283,4497267
2002,Maine,Liver and Intrahepatic Bile Duct,3.9,59,1295960
2002,Maryland,Liver and Intrahepatic Bile Duct,4.8,247,5440389
2002,Massachusetts,Liver and Intrahepatic Bile Duct,4.7,321,6417206
2002,Michigan,Liver and Intrahepatic Bile Duct,4.7,475,10015710
2002,Minnesota,Liver and Intrahepatic Bile Duct,4,197,5018935
2002,Mississippi,Liver and Intrahepatic Bile Duct,5.4,151,2858681
2002,Missouri,Liver and Intrahepatic Bile Duct,4.5,274,5674825
2002,Montana,Liver and Intrahepatic Bile Duct,4.2,42,911667
2002,Nebraska,Liver and Intrahepatic Bile Duct,3.5,65,1728292
2002,Nevada,Liver and Intrahepatic Bile Duct,5.5,112,2173791
2002,New Hampshire,Liver and Intrahepatic Bile Duct,4.8,61,1269089
2002,New Jersey,Liver and Intrahepatic Bile Duct,4.3,385,8552643
2002,New Mexico,Liver and Intrahepatic Bile Duct,6.8,124,1855309
2002,New York,Liver and Intrahepatic Bile Duct,5,997,19137800
2002,North Carolina,Liver and Intrahepatic Bile Duct,4.3,350,8326201
2002,North Dakota,Liver and Intrahepatic Bile Duct,2.5,18,638168
2002,Ohio,Liver and Intrahepatic Bile Duct,4.4,531,11407889
2002,Oklahoma,Liver and Intrahepatic Bile Duct,3.8,138,3489080
2002,Oregon,Liver and Intrahepatic Bile Duct,3.9,147,3513424
2002,Pennsylvania,Liver and Intrahepatic Bile Duct,4.3,626,12331031
2002,Rhode Island,Liver and Intrahepatic Bile Duct,4.3,50,1065995
2002,South Carolina,Liver and Intrahepatic Bile Duct,4.9,202,4107795
2002,South Dakota,Liver and Intrahepatic Bile Duct,3.4,29,760020
2002,Tennessee,Liver and Intrahepatic Bile Duct,5,291,5795918
2002,Texas,Liver and Intrahepatic Bile Duct,6.5,1181,21690325
2002,United States,Liver and Intrahepatic Bile Duct,4.9,14047,287625193
2002,Utah,Liver and Intrahepatic Bile Duct,2.7,45,2324815
2002,Vermont,Liver and Intrahepatic Bile Duct,3.3,22,615442
2002,Virginia,Liver and Intrahepatic Bile Duct,4.1,284,7286873
2002,Washington,Liver and Intrahepatic Bile Duct,5.5,318,6052349
2002,West Virginia,Liver and Intrahepatic Bile Duct,4.5,97,1805414
2002,Wisconsin,Liver and Intrahepatic Bile Duct,5,282,5445162
2002,Wyoming,Liver and Intrahepatic Bile Duct,3.3,16,500017
2003,Alabama,Liver and Intrahepatic Bile Duct,5.1,240,4503491
2003,Alaska,Liver and Intrahepatic Bile Duct,7.6,29,648414
2003,Arizona,Liver and Intrahepatic Bile Duct,4.8,267,5510364
2003,Arkansas,Liver and Intrahepatic Bile Duct,5,149,2724816
2003,California,Liver and Intrahepatic Bile Duct,6.4,2010,35253159
2003,Colorado,Liver and Intrahepatic Bile Duct,4.8,187,4528732
2003,Connecticut,Liver and Intrahepatic Bile Duct,4.5,175,3484336
2003,Delaware,Liver and Intrahepatic Bile Duct,4.4,37,818003
2003,District of Columbia,Liver and Intrahepatic Bile Duct,4.9,28,568502
2003,Florida,Liver and Intrahepatic Bile Duct,4.9,1049,17004085
2003,Georgia,Liver and Intrahepatic Bile Duct,4.4,315,8622793
2003,Hawaii,Liver and Intrahepatic Bile Duct,6.8,91,1251154
2003,Idaho,Liver and Intrahepatic Bile Duct,3.1,41,1363380
2003,Illinois,Liver and Intrahepatic Bile Duct,5,623,12556006
2003,Indiana,Liver and Intrahepatic Bile Duct,4.4,273,6196638
2003,Iowa,Liver and Intrahepatic Bile Duct,3.4,113,2941999
2003,Kansas,Liver and Intrahepatic Bile Duct,3.8,107,2723004
2003,Kentucky,Liver and Intrahepatic Bile Duct,4.8,201,4117170
2003,Louisiana,Liver and Intrahepatic Bile Duct,6.3,272,4521042
2003,Maine,Liver and Intrahepatic Bile Duct,3.4,50,1306513
