Year,Area,Cancer Type,Age-Adjusted Rate,Death Count,Population
2001,United States,Lung and Bronchus,55.3,155969,284968955
2001,Utah,Lung and Bronchus,23.4,371,2283715
2001,Vermont,Lung and Bronchus,54.2,345,612223
2001,Virginia,Lung and Bronchus,56.4,3764,7198362
2001,Washington,Lung and Bronchus,55.5,3049,5985722
2001,West Virginia,Lung and Bronchus,71.8,1555,1801481
2001,Wisconsin,Lung and Bronchus,49.2,2743,5406835
2001,Wyoming,Lung and Bronchus,48.8,232,494657
2002,Alabama,Lung and Bronchus,63.5,2989,4480089
2002,Alaska,Lung and Bronchus,51.4,198,642337
2002,Arizona,Lung and Bronchus,47.7,2620,5396255
2002,Arkansas,Lung and Bronchus,71.5,2131,2705927
2002,California,Lung and Bronchus,45.6,13789,34871843
2002,Colorado,Lung and Bronchus,42.8,1548,4490406
2002,Connecticut,Lung and Bronchus,48.5,1847,3458749
2002,Delaware,Lung and Bronchus,56.2,473,806169
2002,District of Columbia,Lung and Bronchus,58.3,326,573158
2002,Florida,Lung and Bronchus,54.9,11847,16689370
2002,Georgia,Lung and Bronchus,59.9,4186,8508256
2002,Hawaii,Lung and Bronchus,31.9,424,1239613
2002,Idaho,Lung and Bronchus,43.2,531,1340372
2002,Illinois,Lung and Bronchus,56.5,6847,12525556
2002,Indiana,Lung and Bronchus,64.8,3968,6155967
2002,Iowa,Lung and Bronchus,51.4,1732,2934234
2002,Kansas,Lung and Bronchus,53.1,1479,2713535
2002,Kentucky,Lung and Bronchus,80.4,3347,4089875
2002,Louisiana,Lung and Bronchus,66.4,2837,4497267
2002,Maine,Lung and Bronchus,63.5,948,1295960
2002,Maryland,Lung and Bronchus,57.7,2967,5440389
2002,Massachusetts,Lung and Bronchus,55.2,3762,6417206
2002,Michigan,Lung and Bronchus,57.2,5713,10015710
2002,Minnesota,Lung and Bronchus,47.7,2326,5018935
2002,Mississippi,Lung and Bronchus,68,1900,2858681
2002,Missouri,Lung and Bronchus,62.9,3792,5674825
2002,Montana,Lung and Bronchus,53.2,531,911667
2002,Nebraska,Lung and Bronchus,49,889,1728292
2002,Nevada,Lung and Bronchus,57.3,1154,2173791
2002,New Hampshire,Lung and Bronchus,56.4,702,1269089
2002,New Jersey,Lung and Bronchus,50.7,4558,8552643
2002,New Mexico,Lung and Bronchus,39.4,699,1855309
2002,New York,Lung and Bronchus,48.5,9615,19137800
2002,North Carolina,Lung and Bronchus,59.4,4868,8326201
2002,North Dakota,Lung and Bronchus,42.4,304,638168
2002,Ohio,Lung and Bronchus,62,7490,11407889
2002,Oklahoma,Lung and Bronchus,65.6,2397,3489080
2002,Oregon,Lung and Bronchus,56.5,2057,3513424
